X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.296213681814208,45.013144143610099,0013XX LOWRY AVE N,MP2018353342        ,4     ,2018-10-21T00:00:00.000Z,1707,2018-10-21T00:00:00.000Z,2018-10-21T17:07:00.000Z,1600,THEFT   ,OTHER THEFT                   ,07 ,2018-10-22T00:00:00.000Z,10383,-93.29621705,45.01314688,-10385687,5623591,Jordan,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6986
-93.205690450633469,44.937910145826208,,MP2018353346        ,3     ,2018-10-21T00:00:00.000Z,1845,2018-10-21T00:00:00.000Z,2018-10-21T18:45:00.000Z,1500,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-22T00:00:00.000Z,,-93.20569,44.93791,-10375610,5611752,Howe,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6987
-93.247551942873443,44.899451195617353,0056XX CEDAR AVE S,MP2018353377        ,3     ,2018-10-21T00:00:00.000Z,1842,2018-10-21T00:00:00.000Z,2018-10-21T18:42:00.000Z,1730,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-22T00:00:00.000Z,16940,-93.24755955,44.89945164,-10380270,5605706,Diamond Lake,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6988
-93.227447646814852,45.00235982504983,0014XX STINSON BLVD NE,MP2018353380        ,2     ,2018-10-21T00:00:00.000Z,1817,2018-10-21T00:00:00.000Z,2018-10-21T18:17:00.000Z,1735,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-21T00:00:00.000Z,24132,-93.22745195,45.00236304,-10378032,5621893,Northeast Park,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6989
-93.309823158368616,45.03441467163249,0043XX QUEEN AVE N,MP2018353424        ,4     ,2018-10-21T00:00:00.000Z,2221,2018-10-19T00:00:00.000Z,2018-10-21T22:21:00.000Z,2100,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-22T00:00:00.000Z,10765,-93.30982416,45.03441799,-10387202,5626941,Victory,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6990
-93.238074716625988,44.94475830296998,0023XX 32ND ST E,MP2018353464        ,3     ,2018-10-22T00:00:00.000Z,13,2018-10-21T00:00:00.000Z,2018-10-22T00:13:00.000Z,1,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-22T00:00:00.000Z,17539,-93.23807829,44.94475963,-10379215,5612829,Corcoran,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6991
-93.248576022297343,44.924230462360235,0043XX 18TH AVE S,MP2018353526        ,3     ,2018-10-21T00:00:00.000Z,2123,2018-10-21T00:00:00.000Z,2018-10-21T21:23:00.000Z,2013,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-21T00:00:00.000Z,12337,-93.24857815,44.92423297,-10380384,5609601,Northrop,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6992
-93.262562791271094,44.960905782258031,,MP2018353573        ,3     ,2018-10-21T00:00:00.000Z,2237,2018-10-21T00:00:00.000Z,2018-10-21T22:37:00.000Z,2000,ROBPER  ,ROBBERY OF PERSON             ,04 ,2018-10-22T00:00:00.000Z,,-93.26257,44.96091,-10381941,5615369,Ventura Village,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6993
-93.276630408620392,44.94224677101635,0033XX 1ST AVE S,MP2018353692        ,5     ,2018-10-22T00:00:00.000Z,15,2018-10-21T00:00:00.000Z,2018-10-22T00:15:00.000Z,2330,DASLT3  ,3RD DEG DOMES ASLT            ,05 ,2018-10-22T00:00:00.000Z,11701,-93.2766367,44.94225054,-10383507,5612434,Lyndale,2018-10-22T00:00:00.000Z,2019-02-11T12:25:09.000Z,6994
-93.312050980273227,45.001381641552832,0021XX SHERIDAN AVE N,MP2018315281        ,4     ,2018-09-13T00:00:00.000Z,1959,2018-07-31T00:00:00.000Z,2018-09-13T19:59:00.000Z,1925,THEFT   ,OTHER THEFT                   ,07 ,2018-09-18T00:00:00.000Z,22266,-93.31205134,45.00138462,-10387450,5621739,Willard - Hay,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,6995
-93.284131341242798,45.013093338860294,0003XX LOWRY AVE N,MP2018315351        ,4     ,2018-09-12T00:00:00.000Z,1654,2018-07-01T00:00:00.000Z,2018-09-12T16:54:00.000Z,1632,THEFT   ,OTHER THEFT                   ,07 ,2018-09-19T00:00:00.000Z,14883,-93.28413789,45.0130942,-10384342,5623583,Hawthorne,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,6996
-93.26665012581384,44.972549490424974,0008XX 5TH AVE S,MP2018315878        ,1     ,2018-09-18T00:00:00.000Z,1505,2018-09-09T00:00:00.000Z,2018-09-18T15:05:00.000Z,328,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2018-09-24T00:00:00.000Z,16979,-93.26665672,44.97255467,-10382396,5617201,Elliot Park,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,6997
-93.315338814213121,44.924675691635095,0028XX 43RD ST W,MP2018316606        ,5     ,2018-09-19T00:00:00.000Z,47,2018-09-18T00:00:00.000Z,2018-09-19T00:47:00.000Z,1955,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-09-24T00:00:00.000Z,12542,-93.31534646,44.92467908,-10387816,5609671,Linden Hills,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,6998
-93.299438633684204,44.979660396178929,0002XX IRVING AVE N,MP2018320679        ,4     ,2018-09-22T00:00:00.000Z,258,2018-09-20T00:00:00.000Z,2018-09-22T02:58:00.000Z,2200,DASLT3  ,3RD DEG DOMES ASLT            ,05 ,2018-09-22T00:00:00.000Z,22561,-93.29944361,44.97966674,-10386046,5618320,Harrison,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,6999
-93.303148675807606,45.006894821225806,0026XX LOGAN AVE N,MP2018320786        ,4     ,2018-09-22T00:00:00.000Z,302,2018-09-22T00:00:00.000Z,2018-09-22T03:02:00.000Z,302,DASLT2  ,2ND DEG DOMES ASLT            ,05 ,2018-09-22T00:00:00.000Z,16366,-93.30315672,45.00689686,-10386459,5622607,Jordan,2018-09-25T00:00:00.000Z,2019-02-11T12:25:09.000Z,7000
-93.256283567435091,44.906163964694358,0053XX 13TH AVE S,MP2018320804        ,3     ,2018-09-22T00:00:00.000Z,331,2018-09-22T00:00:00.000Z,2018-09-22T03:31:00.000Z,222,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2018-09-22T00:00:00.000Z,22341,-93.25628361,44.90616854,-10381242,5606761,Hale,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,7001
-93.278804331607972,44.948344198655242,00003X LAKE ST W,MP2018320847        ,5     ,2018-09-22T00:00:00.000Z,519,2018-09-22T00:00:00.000Z,2018-09-22T05:19:00.000Z,315,THEFT   ,OTHER THEFT                   ,07 ,2018-09-22T00:00:00.000Z,21928,-93.27880784,44.94834704,-10383749,5613393,Whittier,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,7002
-93.258179012684579,44.962710966050842,,MP2018320989        ,3     ,2018-09-22T00:00:00.000Z,959,2018-09-21T00:00:00.000Z,2018-09-22T09:59:00.000Z,1800,BIKETF  ,BIKE THEFT                    ,07,2018-09-22T00:00:00.000Z,,-93.25819,44.96271,-10381453,5615653,Ventura Village,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,7003
-93.252384879102024,44.958229683466534,0024XX BLOOMINGTON AVE ,MP2018321433        ,3     ,2018-09-22T00:00:00.000Z,1825,2018-09-22T00:00:00.000Z,2018-09-22T18:25:00.000Z,1817,THEFT   ,OTHER THEFT                   ,07 ,2018-09-24T00:00:00.000Z,21469,-93.25239248,44.95823569,-10380808,5614948,East Phillips,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,7004
-93.269677448321318,44.977741364612747,0005XX MARQUETTE AVE ,MP2018322252        ,1     ,2018-09-23T00:00:00.000Z,1315,2018-09-21T00:00:00.000Z,2018-09-23T13:15:00.000Z,730,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-09-24T00:00:00.000Z,17245,-93.26967792,44.97774511,-10382733,5618018,Downtown West,2018-09-24T00:00:00.000Z,2019-02-11T12:25:09.000Z,7005
